question_text,subject,topic,avg_score,correct_percentage,num_students_attempted,num_students_correct,time_taken_minutes,bloom_level,difficulty
Compare and contrast the primary approaches to Quantum Mechanics.,Physics,Quantum Mechanics,71.9,0.72,1634.0,1174.0,6.5,Analyze,Moderate
Describe the mechanism behind Optimization.,Mathematics,Optimization,96.97,0.97,1408.0,1365.0,3.5,Understand,Easy
Formulate a hypothesis regarding the future trajectory of Evolution.,Biology,Evolution,73.84,0.74,1145.0,845.0,8.2,Create,Moderate
Critique the methodology used to study Optics.,Physics,Optics,65.76,0.66,1862.0,1224.0,9.1,Evaluate,Moderate
Calculate the expected outcome using principles of Algorithms.,Computer Science,Algorithms,46.49,0.46,1942.0,902.0,7.4,Apply,Medium
Describe the mechanism behind Optimization.,Mathematics,Optimization,67.34,0.67,1685.0,1134.0,6.2,Understand,Moderate
What role does Opportunity Cost play in the advancement of Economics technology?,Economics,Opportunity Cost,60.8,0.59,753.0,444.0,2.0,Analyze,Moderate
Analyze the relationship between Microeconomics and related phenomena.,Economics,Microeconomics,86.45,0.86,694.0,599.0,2.4,Analyze,Easy
Demonstrate the use of Physiology in solving a standard Biology problem.,Biology,Physiology,27.48,0.27,1224.0,336.0,21.7,Apply,Hard
Synthesize a new framework combining Electromagnetism with external disciplines.,Physics,Electromagnetism,51.55,0.52,1653.0,852.0,5.1,Create,Medium
Identify the key characteristics of Networking.,Computer Science,Networking,57.48,0.57,1126.0,647.0,7.2,Remember,Moderate
Summarize the key findings related to Game Theory.,Economics,Game Theory,85.44,0.85,893.0,762.0,3.6,Understand,Easy
Discuss the foundational theories of Physiology.,Biology,Physiology,94.85,0.95,1630.0,1546.0,3.0,Understand,Easy
Use the standard model of Calculus to predict future states.,Mathematics,Calculus,52.36,0.52,1487.0,778.0,7.0,Apply,Medium
Explain how Econometrics functions in modern applications.,Economics,Econometrics,43.66,0.44,1432.0,625.0,7.3,Understand,Moderate
Deconstruct the arguments surrounding Physiology in contemporary literature.,Biology,Physiology,55.37,0.55,1183.0,655.0,6.4,Analyze,Medium
Develop an innovative algorithm based on Evolution principles.,Biology,Evolution,21.84,0.22,1561.0,340.0,13.4,Create,Hard
Summarize the key findings related to Discrete Math.,Mathematics,Discrete Math,61.34,0.61,1741.0,1067.0,6.6,Understand,Medium
Examine the underlying metrics of Thermodynamics.,Physics,Thermodynamics,40.44,0.4,1418.0,573.0,9.0,Analyze,Moderate
Assess the validity of the dominant theory in Game Theory.,Economics,Game Theory,43.78,0.44,1559.0,682.0,5.4,Evaluate,Moderate
Calculate the expected outcome using principles of Physiology.,Biology,Physiology,57.29,0.57,1894.0,1085.0,11.9,Apply,Medium
Use the standard model of Thermodynamics to predict future states.,Physics,Thermodynamics,37.97,0.38,988.0,375.0,12.6,Apply,Hard
Examine the underlying metrics of Classical Mechanics.,Physics,Classical Mechanics,52.85,0.53,1806.0,954.0,8.5,Analyze,Moderate
Deconstruct the arguments surrounding Operating Systems in contemporary literature.,Computer Science,Operating Systems,49.77,0.5,1685.0,838.0,11.5,Analyze,Medium
Calculate the expected outcome using principles of Data Structures.,Computer Science,Data Structures,20.07,0.2,2079.0,417.0,23.4,Apply,Hard
Calculate the expected outcome using principles of Algorithms.,Computer Science,Algorithms,60.33,0.6,2326.0,1403.0,5.4,Apply,Moderate
Summarize the key findings related to Networking.,Computer Science,Networking,59.0,0.59,2106.0,1242.0,5.8,Understand,Medium
Assess the validity of the dominant theory in Quantum Mechanics.,Physics,Quantum Mechanics,43.75,0.44,1021.0,446.0,9.1,Evaluate,Medium
Use the standard model of Cell Biology to predict future states.,Biology,Cell Biology,32.42,0.32,1970.0,638.0,14.0,Apply,Hard
Describe the mechanism behind Game Theory.,Economics,Game Theory,48.89,0.49,1815.0,887.0,10.3,Understand,Moderate
Analyze the relationship between Physiology and related phenomena.,Biology,Physiology,51.21,0.51,1290.0,660.0,9.3,Analyze,Medium
Demonstrate the use of Linear Algebra in solving a standard Mathematics problem.,Mathematics,Linear Algebra,40.94,0.41,1431.0,585.0,7.0,Apply,Medium
Deconstruct the arguments surrounding Linear Algebra in contemporary literature.,Mathematics,Linear Algebra,69.64,0.7,1513.0,1053.0,6.5,Analyze,Medium
Assess the validity of the dominant theory in Game Theory.,Economics,Game Theory,39.95,0.4,1896.0,757.0,16.8,Evaluate,Hard
Evaluate the impact of Optics on current technological advancements.,Physics,Optics,72.99,0.73,2266.0,1654.0,5.1,Evaluate,Medium
Synthesize a new framework combining Macroeconomics with external disciplines.,Economics,Macroeconomics,33.92,0.34,1603.0,543.0,23.0,Create,Hard
Differentiate between the theoretical and practical aspects of Quantum Mechanics.,Physics,Quantum Mechanics,40.9,0.41,622.0,254.0,9.6,Analyze,Moderate
Define the core principles of Electromagnetism.,Physics,Electromagnetism,61.98,0.62,1826.0,1131.0,8.1,Remember,Medium
Evaluate the impact of Optimization on current technological advancements.,Mathematics,Optimization,56.78,0.57,1206.0,684.0,6.7,Evaluate,Medium
Explain how Probability functions in modern applications.,Mathematics,Probability,87.3,0.87,1349.0,1177.0,2.1,Understand,Easy
State the primary theorem in Data Structures.,Computer Science,Data Structures,47.26,0.47,1972.0,931.0,6.9,Remember,Medium
List the main components of Physiology.,Biology,Physiology,92.1,0.92,2270.0,2090.0,4.8,Remember,Easy
Demonstrate the use of Public Finance in solving a standard Economics problem.,Economics,Public Finance,27.25,0.27,1829.0,498.0,15.1,Apply,Hard
Discuss the foundational theories of Cell Biology.,Biology,Cell Biology,83.42,0.83,1754.0,1463.0,1.9,Understand,Easy
Compare and contrast the primary approaches to Networking.,Computer Science,Networking,62.91,0.63,1342.0,844.0,6.8,Analyze,Moderate
Apply the concepts of Data Structures to a real-world scenario.,Computer Science,Data Structures,72.4,0.72,1632.0,1181.0,10.7,Apply,Moderate
Solve a comprehensive problem involving the core principles of Blood.,Biology,Blood,95.28,0.92,2589.0,2381.0,19.0,Create,Medium
Assess the validity of the dominant theory in Data Structures.,Computer Science,Data Structures,59.99,0.6,1768.0,1060.0,7.6,Evaluate,Medium
State the primary theorem in Classical Mechanics.,Physics,Classical Mechanics,75.25,0.75,1641.0,1234.0,1.5,Remember,Easy
State the primary theorem in Optimization.,Mathematics,Optimization,59.04,0.59,2229.0,1316.0,8.3,Remember,Moderate
State the primary theorem in Ecology.,Biology,Ecology,77.02,0.77,938.0,722.0,1.8,Remember,Easy
Compare and contrast the primary theories of Conjunctions.,English,Conjunctions,70.33,0.74,1437.0,1063.0,10.0,Evaluate,Hard
Propose a new architecture integrating Ecology.,Biology,Ecology,59.61,0.6,1985.0,1183.0,6.4,Create,Moderate
Identify the key characteristics of Probability.,Mathematics,Probability,90.26,0.9,2778.0,2507.0,2.4,Remember,Easy
Define the core principles of Ecology.,Biology,Ecology,65.23,0.65,1444.0,941.0,6.8,Remember,Medium
Recall the definition of Classical Mechanics in the context of Physics.,Physics,Classical Mechanics,81.04,0.81,1531.0,1240.0,4.9,Remember,Easy
Calculate the expected outcome using principles of Machine Learning.,Computer Science,Machine Learning,85.86,0.86,2618.0,2247.0,4.3,Apply,Easy
Execute a procedure based on Genetics guidelines.,Biology,Genetics,40.63,0.41,1583.0,643.0,5.1,Apply,Medium
Examine the underlying metrics of Public Finance.,Economics,Public Finance,80.92,0.81,1671.0,1352.0,1.9,Analyze,Easy
Differentiate between the theoretical and practical aspects of Game Theory.,Economics,Game Theory,52.04,0.52,1777.0,924.0,7.8,Analyze,Moderate
Examine the underlying metrics of Linear Algebra.,Mathematics,Linear Algebra,43.71,0.44,1695.0,740.0,6.2,Analyze,Medium
Execute a procedure based on Macroeconomics guidelines.,Economics,Macroeconomics,55.32,0.55,1812.0,1002.0,11.3,Apply,Moderate
Apply the concepts of Microeconomics to a real-world scenario.,Economics,Microeconomics,29.16,0.29,741.0,216.0,16.2,Apply,Hard
Deconstruct the arguments surrounding Public Finance in contemporary literature.,Economics,Public Finance,62.06,0.62,1161.0,720.0,9.7,Analyze,Moderate
State the primary theorem in Optics.,Physics,Optics,53.08,0.53,1629.0,864.0,8.5,Remember,Moderate
Differentiate between the theoretical and practical aspects of Classical Mechanics.,Physics,Classical Mechanics,49.34,0.49,1040.0,513.0,6.9,Analyze,Medium
Develop an innovative algorithm based on Probability principles.,Mathematics,Probability,30.57,0.31,1842.0,563.0,21.6,Create,Hard
Recall the definition of Linear Algebra in the context of Mathematics.,Mathematics,Linear Algebra,83.87,0.84,723.0,606.0,1.3,Remember,Easy
Develop an innovative algorithm based on Quantum Mechanics principles.,Physics,Quantum Mechanics,42.63,0.43,1645.0,701.0,8.2,Create,Medium
State the primary theorem in Linear Algebra.,Mathematics,Linear Algebra,73.79,0.74,950.0,700.0,8.3,Remember,Moderate
Identify the key characteristics of Genetics.,Biology,Genetics,54.0,0.54,1862.0,1005.0,8.8,Remember,Moderate
Describe the mechanism behind Discrete Math.,Mathematics,Discrete Math,74.56,0.75,1920.0,1431.0,11.9,Understand,Moderate
Summarize the key findings related to Microeconomics.,Economics,Microeconomics,48.75,0.49,2018.0,983.0,9.0,Understand,Moderate
Discuss the foundational theories of Public Finance.,Economics,Public Finance,51.78,0.52,1184.0,613.0,5.5,Understand,Medium
Compare and contrast the primary approaches to Discrete Math.,Mathematics,Discrete Math,17.11,0.17,1857.0,317.0,17.8,Analyze,Hard
Demonstrate the use of Genetics in solving a standard Biology problem.,Biology,Genetics,65.38,0.65,1615.0,1055.0,7.5,Apply,Moderate
Execute a procedure based on Calculus guidelines.,Mathematics,Calculus,47.39,0.47,1499.0,710.0,7.9,Apply,Moderate
Critique the methodology used to study Discrete Math.,Mathematics,Discrete Math,32.5,0.33,1280.0,416.0,18.5,Evaluate,Hard
Justify the use of Genetics over alternative methods.,Biology,Genetics,39.95,0.4,1381.0,551.0,15.4,Evaluate,Hard
Examine the cross-disciplinary applications of Coordination Compounds in other fields.,Chemistry,Coordination Compounds,93.22,0.91,2289.0,2082.0,11.0,Apply,Medium
Discuss the challenges faced during the implementation of The Making of a Global World in a developing country.,History,The Making of a Global World,39.9,0.4,379.0,151.0,15.0,Evaluate,Hard
Calculate the expected outcome using principles of Classical Mechanics.,Physics,Classical Mechanics,68.25,0.68,2079.0,1418.0,6.8,Apply,Moderate
Evaluate the impact of Physiology on current technological advancements.,Biology,Physiology,54.12,0.54,1983.0,1073.0,10.6,Evaluate,Moderate
Summarize the key findings related to Optics.,Physics,Optics,94.06,0.94,689.0,648.0,4.0,Understand,Easy
Formulate a hypothesis regarding the future trajectory of Public Finance.,Economics,Public Finance,18.51,0.19,1833.0,339.0,12.9,Create,Hard
Interpret the significance of Optics in Physics.,Physics,Optics,72.31,0.72,1550.0,1120.0,11.4,Understand,Medium
Examine the underlying metrics of Discrete Math.,Mathematics,Discrete Math,86.02,0.86,1968.0,1692.0,1.9,Analyze,Easy
Describe the mechanism behind Probability.,Mathematics,Probability,97.23,0.97,1327.0,1290.0,4.6,Understand,Easy
Calculate the expected outcome using principles of Optics.,Physics,Optics,51.82,0.52,1203.0,623.0,9.3,Apply,Medium
Interpret the significance of Linear Algebra in Mathematics.,Mathematics,Linear Algebra,41.05,0.41,2034.0,834.0,5.9,Understand,Moderate
Compare and contrast the primary approaches to Electromagnetism.,Physics,Electromagnetism,87.44,0.87,1564.0,1367.0,3.6,Analyze,Easy
Analyze the relationship between Web Development and the wider Computer Science field. - Perspective 845,Computer Science,Web Development,13.51,0.16,2223.0,355.0,19.0,Analyze,Hard
List the main components of Optimization.,Mathematics,Optimization,55.68,0.56,1398.0,778.0,6.0,Remember,Medium
List the main components of Operating Systems.,Computer Science,Operating Systems,41.18,0.41,1594.0,656.0,11.3,Remember,Moderate
Recall the definition of Microeconomics in the context of Economics.,Economics,Microeconomics,71.8,0.72,1311.0,941.0,5.9,Remember,Medium
State the primary theorem in Public Finance.,Economics,Public Finance,50.06,0.5,894.0,447.0,8.4,Remember,Medium
Execute a procedure based on Thermodynamics guidelines.,Physics,Thermodynamics,25.74,0.26,1199.0,308.0,15.9,Apply,Hard
Synthesize a new framework combining Microeconomics with external disciplines.,Economics,Microeconomics,37.72,0.38,1635.0,616.0,18.1,Create,Hard
State the primary theorem in Cell Biology.,Biology,Cell Biology,47.31,0.47,1080.0,510.0,7.7,Remember,Moderate
Deconstruct the arguments surrounding Ecology in contemporary literature.,Biology,Ecology,17.45,0.17,1532.0,267.0,19.1,Analyze,Hard
Critique a major study or paper regarding Calculus. - Perspective 279,Maths,Calculus,23.89,0.23,871.0,200.0,10.0,Evaluate,Easy
Deconstruct the arguments surrounding Thermodynamics in contemporary literature.,Physics,Thermodynamics,72.97,0.73,1655.0,1207.0,9.6,Analyze,Moderate
Argue the ethical implications of recent discoveries in Electromagnetism.,Physics,Electromagnetism,21.97,0.22,1830.0,401.0,25.0,Evaluate,Hard
Describe the mechanism behind Microeconomics.,Economics,Microeconomics,90.64,0.91,1283.0,1162.0,4.9,Understand,Easy
Differentiate between the theoretical and practical aspects of Machine Learning.,Computer Science,Machine Learning,10.82,0.11,1928.0,208.0,12.7,Analyze,Hard
State the primary theorem in Ecology.,Biology,Ecology,77.08,0.77,1476.0,1137.0,4.1,Remember,Easy
Describe a real-world application of Indian Rocks in industry or daily life.,Geography,Indian Rocks,46.74,0.47,2674.0,1256.0,19.0,Create,Medium
Deconstruct the arguments surrounding Machine Learning in contemporary literature.,Computer Science,Machine Learning,58.33,0.58,1417.0,826.0,8.3,Analyze,Moderate
Solve a comprehensive problem involving the core principles of Aztec Civilization.,History,Aztec Civilization,37.54,0.41,2748.0,1126.0,6.0,Evaluate,Hard
Use the standard model of Probability to predict future states.,Mathematics,Probability,44.21,0.44,1141.0,504.0,11.2,Apply,Moderate
List the main components of Quantum Mechanics.,Physics,Quantum Mechanics,61.18,0.61,731.0,447.0,10.8,Remember,Medium
Critique the methodology used to study Optics.,Physics,Optics,16.86,0.17,1504.0,253.0,17.5,Evaluate,Hard
Critique the methodology used to study Data Structures.,Computer Science,Data Structures,27.73,0.28,814.0,225.0,18.0,Evaluate,Hard
Synthesize a new framework combining Optimization with external disciplines.,Mathematics,Optimization,48.6,0.49,1112.0,540.0,7.8,Create,Medium
Explain how Electromagnetism functions in modern applications.,Physics,Electromagnetism,77.19,0.77,2411.0,1860.0,2.8,Understand,Easy
Evaluate the impact of Data Structures on current technological advancements.,Computer Science,Data Structures,38.05,0.38,898.0,341.0,21.3,Evaluate,Hard
Recall the definition of Electromagnetism in the context of Physics.,Physics,Electromagnetism,91.15,0.91,1918.0,1748.0,1.6,Remember,Easy
Discuss the foundational theories of Probability.,Mathematics,Probability,73.15,0.73,1404.0,1026.0,9.5,Understand,Moderate
Justify the use of Econometrics over alternative methods.,Economics,Econometrics,30.03,0.3,2272.0,682.0,17.1,Evaluate,Hard
Define the core principles of Machine Learning.,Computer Science,Machine Learning,82.26,0.82,2099.0,1726.0,4.2,Remember,Easy
State the primary theorem in Cell Biology.,Biology,Cell Biology,91.3,0.91,974.0,889.0,2.8,Remember,Easy
Differentiate between the theoretical and practical aspects of Quantum Mechanics.,Physics,Quantum Mechanics,76.28,0.76,1787.0,1363.0,2.6,Analyze,Easy
